Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Water_Intake,Daily_Steps,Disease_Prediction
Lion,Exotic,23,Female,234.6 kg,Lethargy,Coughing,Appetite Loss,Dehydration,10 days,Yes,No,No,Yes,Yes,No,No,No,Yes,41.9°C,89,5.8 L,3906,Bacterial Pneumonia
Lion,Exotic,5,Male,122.6 kg,Appetite Loss,Skin Lesions,Weakness,Lethargy,4 days,Yes,No,No,No,No,No,Yes,No,Yes,40.2°C,85,4.2 L,507,Heat Stress
Lion,Exotic,3,Female,161.5 kg,Appetite Loss,Lethargy,Labored Breathing,Dehydration,2 days,Yes,Yes,No,No,Yes,No,No,Yes,No,41.0°C,71,3.3 L,297,Heat Stress
Lion,Exotic,7,Female,169.4 kg,Lethargy,Coughing,Skin Lesions,Vomiting,2 weeks,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,40.0°C,77,3.9 L,447,Nutritional Deficiency
Lion,Exotic,6,Female,216.5 kg,Appetite Loss,Nasal Discharge,Fever,Labored Breathing,3 weeks,Yes,Yes,No,Yes,Yes,No,No,Yes,No,41.0°C,54,1.6 L,3072,Heat Stress
Lion,Exotic,24,Female,122.6 kg,Eye Discharge,Diarrhea,Weakness,Sneezing,4 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,40.3°C,77,1.2 L,3162,Bacterial Pneumonia
Lion,Exotic,13,Male,212.0 kg,Labored Breathing,Diarrhea,Eye Discharge,Lethargy,2 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0°C,78,4.3 L,3532,Nutritional Deficiency
Lion,Exotic,19,Male,225.9 kg,Skin Lesions,Sneezing,Appetite Loss,Nasal Discharge,2 weeks,Yes,No,Yes,No,No,No,Yes,Yes,No,39.8°C,63,2.1 L,1341,Bacterial Pneumonia
Lion,Exotic,22,Male,229.0 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.8°C,47,12.4 L,7232,Healthy
Lion,Exotic,23,Male,105.2 kg,Lameness,Lethargy,Weakness,Dehydration,2 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,40.6°C,55,5.8 L,1674,Nutritional Deficiency
Lion,Exotic,22,Male,195.0 kg,Fever,Lethargy,Weight Loss,Weakness,4 days,Yes,No,No,Yes,No,No,No,No,No,41.7°C,70,5.2 L,2601,Nutritional Deficiency
Lion,Exotic,18,Female,176.9 kg,Vomiting,Lethargy,Labored Breathing,Nasal Discharge,4 days,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,39.9°C,87,5.9 L,973,Fungal Dermatitis
Lion,Exotic,6,Female,186.8 kg,Labored Breathing,Diarrhea,Lethargy,Eye Discharge,1 week,Yes,No,Yes,Yes,Yes,No,No,No,Yes,41.9°C,87,4.6 L,1246,Viral Infection
Lion,Exotic,5,Male,131.1 kg,Coughing,Vomiting,Skin Lesions,Lameness,1 week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,39.3°C,73,5.6 L,1817,Nutritional Deficiency
Lion,Exotic,20,Female,221.8 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.1°C,45,14.7 L,5093,Healthy
Lion,Exotic,23,Male,136.5 kg,Sneezing,Dehydration,Weight Loss,Lethargy,10 days,Yes,No,Yes,No,No,No,No,Yes,No,39.8°C,88,1.5 L,1904,Nutritional Deficiency
Lion,Exotic,1,Female,165.5 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,43,14.7 L,8536,Healthy
Lion,Exotic,1,Male,202.4 kg,Fever,Dehydration,Coughing,Lethargy,2 days,No,No,No,Yes,No,No,No,No,No,39.2°C,67,9.6 L,1561,Parasitic Gastritis
Lion,Exotic,23,Male,189.8 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,47,12.7 L,7636,Healthy
Lion,Exotic,14,Female,150.4 kg,Eye Discharge,Nasal Discharge,Lameness,Skin Lesions,1 week,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,39.3°C,74,9.9 L,652,Fungal Dermatitis
Lion,Exotic,12,Female,172.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.6°C,47,19.6 L,9663,Healthy
Lion,Exotic,9,Male,223.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,47,15.6 L,8163,Healthy
Lion,Exotic,3,Female,157.6 kg,Diarrhea,Eye Discharge,Nasal Discharge,Vomiting,3 weeks,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,41.7°C,60,9.5 L,939,Heat Stress
Lion,Exotic,22,Male,211.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.6°C,46,19.4 L,7826,Healthy
Lion,Exotic,24,Female,159.7 kg,Sneezing,Lethargy,Nasal Discharge,Eye Discharge,2 weeks,Yes,Yes,No,No,No,No,No,Yes,Yes,41.8°C,57,4.7 L,1607,Heat Stress
Lion,Exotic,8,Female,146.8 kg,Skin Lesions,Diarrhea,Labored Breathing,Sneezing,3 weeks,Yes,No,Yes,No,Yes,No,Yes,No,Yes,41.1°C,69,1.7 L,3836,Parasitic Gastritis
Lion,Exotic,22,Female,210.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,39.0°C,49,13.7 L,9127,Healthy
Lion,Exotic,5,Female,246.5 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,42,19.0 L,8393,Healthy
Lion,Exotic,18,Female,187.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.4°C,46,15.6 L,8793,Healthy
Lion,Exotic,17,Female,212.6 kg,Dehydration,Nasal Discharge,Diarrhea,Appetite Loss,1 week,Yes,No,Yes,No,No,No,Yes,Yes,No,39.1°C,70,7.7 L,3547,Fungal Dermatitis
Lion,Exotic,20,Male,153.8 kg,Weakness,Diarrhea,Sneezing,Weight Loss,1 week,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,40.3°C,75,6.0 L,1962,Fungal Dermatitis
Lion,Exotic,14,Female,172.9 kg,Sneezing,Skin Lesions,Coughing,Lameness,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,41.4°C,83,1.5 L,3278,Bacterial Pneumonia
Lion,Exotic,9,Male,233.2 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.2°C,40,18.7 L,6280,Healthy
Lion,Exotic,4,Male,173.8 kg,Skin Lesions,Coughing,Vomiting,Lameness,1 week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,39.8°C,50,1.3 L,448,Viral Infection
Lion,Exotic,21,Male,225.5 kg,Lameness,Sneezing,Diarrhea,Nasal Discharge,1 week,No,No,Yes,No,Yes,Yes,Yes,Yes,No,41.4°C,76,1.4 L,1343,Fungal Dermatitis
Lion,Exotic,13,Male,112.2 kg,Appetite Loss,Lameness,Diarrhea,Skin Lesions,2 weeks,Yes,No,Yes,No,No,Yes,Yes,No,No,39.3°C,75,9.9 L,3912,Nutritional Deficiency
Lion,Exotic,18,Male,173.2 kg,Fever,Eye Discharge,Sneezing,Nasal Discharge,4 days,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,40.2°C,55,1.5 L,2727,Nutritional Deficiency
Lion,Exotic,4,Female,201.9 kg,Fever,Lethargy,Weakness,Vomiting,2 weeks,No,Yes,Yes,No,No,No,Yes,No,No,41.3°C,52,6.0 L,3129,Heat Stress
Lion,Exotic,18,Female,188.5 kg,Coughing,Lethargy,Sneezing,Vomiting,2 days,Yes,Yes,No,Yes,No,No,No,No,No,41.9°C,70,9.3 L,770,Fungal Dermatitis
